sample_id,sentence_id,predicted_entities
1,1,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,2,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,3,[]
1,4,[]
1,5,"[{""text"": ""Susan"", ""character"": ""Susan Pevensie""}]"
1,6,"[{""text"": ""Ed"", ""character"": ""Edmund Pevensie""}, {""text"": ""Susan"", ""character"": ""Susan Pevensie""}]"
1,7,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,8,"[{""text"": ""Professor"", ""character"": ""Professor Digory Kirke""}]"
1,9,"[{""text"": ""Peter"", ""character"": ""Peter Pevensie""}]"
1,10,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,11,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,12,[]
1,13,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,14,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}, {""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,15,[]
1,16,[]
1,17,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,18,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,19,"[{""text"": ""Mrs. Macready"", ""character"": ""Mrs. Macready""}]"
1,20,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,21,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,22,"[{""text"": ""Silenus"", ""character"": ""Silenus""}, {""text"": ""Bacchus"", ""character"": ""Bacchus""}]"
1,23,[]
1,24,[]
1,25,[]
1,26,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,27,[]
1,28,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}, {""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,29,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,30,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,31,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,32,[]
1,33,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,34,[]
1,35,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,36,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,37,[]
1,38,[]
1,39,[]
1,40,[]
1,41,[]
1,42,"[{""text"": ""Susan"", ""character"": ""Susan Pevensie""}]"
1,43,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,44,[]
1,45,"[{""text"": ""Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,46,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,47,[]
1,48,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,49,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,50,"[{""text"": ""She"", ""character"": ""Lucy Pevensie""}]"
1,51,[]
1,52,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,53,"[{""text"": ""Ed"", ""character"": ""Edmund Pevensie""}, {""text"": ""Susan"", ""character"": ""Susan Pevensie""}]"
1,54,"[{""text"": ""Peter"", ""character"": ""Peter Pevensie""}, {""text"": ""Susan"", ""character"": ""Susan Pevensie""}, {""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,55,"[{""text"": ""she"", ""character"": ""Jadis""}]"
1,56,[]
1,57,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,58,[]
1,59,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,60,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,61,[]
1,62,[]
1,63,"[{""text"": ""Susan"", ""character"": ""Susan Pevensie""}]"
1,64,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,65,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,66,"[{""text"": ""Peter"", ""character"": ""Peter Pevensie""}]"
1,67,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,68,[]
1,69,[]
1,70,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,71,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,72,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,73,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}, {""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,74,[]
1,75,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,76,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,77,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,78,"[{""text"": ""Silenus"", ""character"": ""Silenus""}]"
1,79,[]
1,80,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,81,[]
1,82,[]
1,83,[]
1,84,[]
1,85,[]
1,86,[]
1,87,[]
1,88,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,89,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,90,[]
1,91,[]
1,92,[]
1,93,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,94,[]
1,95,[]
1,96,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,97,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,98,"[{""text"": ""Peter"", ""character"": ""Peter Pevensie""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,99,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,100,"[{""text"": ""Ivy"", ""character"": ""Ivy""}, {""text"": ""Margaret"", ""character"": ""Margaret""}, {""text"": ""Betty"", ""character"": ""Betty""}]"
1,101,[]
1,102,[]
1,103,[]
1,104,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,105,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}, {""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,106,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,107,[]
1,108,[]
1,109,[]
1,110,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,111,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,112,[]
1,113,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}, {""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,114,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,115,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,116,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,117,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,118,[]
1,119,[]
1,120,[]
1,121,[]
1,122,[]
1,123,"[{""text"": ""White Witch"", ""character"": ""Jadis""}]"
1,124,[]
1,125,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,126,[]
1,127,[]
1,128,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,129,[]
1,130,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,131,"[{""text"": ""Professor"", ""character"": ""Professor Digory Kirke""}]"
1,132,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,133,[]
1,134,[]
1,135,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,136,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,137,[]
1,138,[]
1,139,"[{""text"": ""She"", ""character"": ""Lucy Pevensie""}]"
1,140,"[{""text"": ""She"", ""character"": ""Lucy Pevensie""}]"
1,141,"[{""text"": ""White Witch"", ""character"": ""Jadis""}]"
1,142,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,143,[]
1,144,[]
1,145,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,146,[]
1,147,[]
1,148,[]
1,149,[]
1,150,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,151,[]
1,152,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,153,[]
1,154,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,155,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,156,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,157,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,158,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,159,"[{""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,160,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,161,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,162,[]
1,163,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,164,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,165,"[{""text"": ""Faun"", ""character"": ""Mr. Tumnus""}]"
1,166,"[{""text"": ""Edmund"", ""character"": ""Edmund Pevensie""}]"
1,167,[]
1,168,"[{""text"": ""She"", ""character"": ""Lucy Pevensie""}]"
1,169,[]
1,170,[]
1,171,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
1,172,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}, {""text"": ""Mr. Tumnus"", ""character"": ""Mr. Tumnus""}]"
1,173,"[{""text"": ""White Witch"", ""character"": ""Jadis""}]"
1,174,"[{""text"": ""Lucy"", ""character"": ""Lucy Pevensie""}]"
1,175,[]
1,176,[]
1,177,"[{""text"": ""her"", ""character"": ""Jadis""}]"
1,178,[]
1,179,[]
1,180,"[{""text"": ""she"", ""character"": ""Lucy Pevensie""}]"
